宜信普惠信息咨询（北京）有限公司 22/24
世纪文都教育科技集团股份有限公司 82/99
通赢天下网络科技（湖北）有限公司 2/3
成都效佳科技有限公司 2/2
江阴市澄清环保科技有限公司 1/1
湖南破壳电子商务有限公司 1/1
宜兴市金宇冶金电炉设备有限公司 1/1
天津市远鸿机械设备租赁有限公司 1/1
深圳小鸡鸡餐饮服务有限公司 1/1
南京科适医疗器械有限公司 1/1
德清完美蓬程影视文化有限公司 1/1
深圳市日鑫盛科技服务有限公司 1/1
苏州市寅财信息技术有限公司 1/1
青岛骥达企业管理咨询有限公司 1/1
广发期货有限公司 1/1
哈尔滨航一发商贸有限公司 1/1
郑州光影传媒有限公司 2/2
智车优行科技（北京）有限公司 1/1
广州市易杰数码科技有限公司 2/2
浩克（南京）起重机械有限公司 1/1
浙江宝龙投资有限公司 2/2
上海缘界体育文化集团有限公司 1/1
湖南紫薇垣信息系统有限公司 1/1
湖北长江航天股权投资基金管理有限公司 1/1
江西利森林业技术服务有限公司 1/1
山西东鳌科技有限公司 1/1
淄博道和天成工贸有限公司 1/1
超级智慧家（上海）物联网科技有限公司 1/1
北京山势传媒有限公司 1/1
上海驿庭保洁服务有限公司 1/2
重庆颐福食品有限公司 2/2
国药控股湖北医疗器械有限公司 1/2
宁波万科企业有限公司 1/2
凯迪海运（深圳）有限公司上海分公司 1/5
东营蓝海御华大饭店有限责任公司 1/6
北京进步时代科技有限公司 1/8
深圳市维也纳国际酒店管理有限公司 1/2
康师傅方便面投资（中国）有限公司 255/319
阿尔发（襄阳）汽车配件有限公司 1/4
昴氏（上海）电子贸易有限公司 1/19
顺丰控股集团财务有限公司 25/367
腾讯科技（深圳）有限公司 1/246
沈阳京东世纪贸易有限公司 1/51
新海丰物流有限公司青岛分公司 1/3
大观环境设计（深圳）有限公司 16/16
江苏久雅通信科技有限公司 6/9
阿里巴巴(中国)网络技术有限公司 1/278
中智关爱通（上海）科技股份有限公司 5/48
合肥华润三九医药有限公司 1/98
拉卡拉信息科技（上海）有限公司 2/2
广州轻快科技有限公司 1/1
华润置地（成都）物业服务有限公司重庆分公司 1/13
武汉京东世纪贸易有限公司 131/193
日邮汽车物流（中国）有限公司上海分公司 4/7
五八同城信息技术有限公司 3/29
呼和浩特市维多利物业服务有限责任公司 0/1
广东启橙智融信息技术有限公司 0/1
江西省凡盛企业管理有限公司 3/3
浙江开心果网络科技有限公司 17/22
深圳市锦铭科技有限公司 1/2
国药控股聊城有限公司 4/13
宁波上嘉弘昇物流有限公司 4/9
北京酷能量科技有限公司 6/6
广州慧正智联科技有限公司 3/6
苏州鑫京州物资有限公司 1/2
广州市邑城贸易有限公司 1/1
广州俊彦科技有限公司 1/1
佛山市南海区奥润电工器材有限公司 1/1
大连中亿通船舶工程有限公司 2/2
杭州小电科技股份有限公司 2/11
国联（北京）保险经纪有限公司 0/48
前通国际货运代理（上海）有限公司广州分公司 1/5
北京安恒惠业企业管理顾问有限公司 1/1
西安富邦智控工程有限公司 1/1
北京小桔科技有限公司 0/602
北京三快在线科技有限公司 1/59
深圳家乐缘餐饮顾问有限公司新桥分公司 0/1
上海经贸国际货运实业有限公司 0/1
光大兴陇信托有限责任公司 1/9
北京五八信息技术有限公司 68/82
财付通支付科技有限公司 10/176
湖北峰业工程咨询有限公司 1/2
腾讯科技（北京）有限公司 1/5
天津奉众科技有限公司 1/2
上海信淼信息科技有限公司 1/5
国网汇通金财（北京）信息科技有限公司 9/112
北京宇虹荣鑫科技有限责任公司 1/1
北京京马商贸有限公司 1/1
华税易兴（北京）税务师事务所有限公司 1/1
北京伟恒升新技术有限公司 1/1
北京百川盈孚科技有限公司 1/3
深圳市中旭企业管理股份有限公司 1/2
广州市灵狮贸易发展有限公司 1/1
上海会畅通讯股份有限公司 1/7
博天工业环境服务（上海）有限公司 3/3
重庆玄奘网络有限公司 1/1
重庆志易达物流有限公司一分部 1/1
重庆商社新世纪百货连锁经营有限公司 1/13
华润三九医药股份有限公司 0/228
北京振中源科技有限公司 1/1
武汉三江捷达商务信息咨询有限公司 1/1
广西宜和医疗科技有限公司 1/1
四川冠航金属有限公司 1/1
马鞍山纳百川热交换器有限公司 1/1
金华市喜堡商贸有限公司 1/1
大连茗奥国际贸易有限公司 1/1
泸州中颐农业有限公司 1/1
重庆郎慢农业开发有限公司 1/1
深圳市长亮科技股份有限公司 1/33
上海沃金天然气利用有限公司 2/3
北京捷睿罗科技有限公司 1/2
福建智信科技有限公司 12/22
上期资本管理有限公司 8/8
中泰证券股份有限公司 15/19
浙江金昌物业服务有限公司 0/1
京东数字科技控股股份有限公司 0/411
申万宏源证券有限公司武汉新华路证券营业部 1/1
北京首信融合科技有限公司 1/1
上海米么信息科技有限公司 1/1
华润置地开发(北京)有限公司 1/1
北京鹏巽机械科技有限公司 1/1
杭州乐尧智能技术服务有限公司 17/22
瑞鑫点教（北京）科技有限公司 1/1
重庆德贵源酒业有限公司 2/2
重庆即付科技有限公司 2/2
上海创蓝文化传播有限公司 4/12
深圳红帅科技有限公司 1/1
济南壹玖企业管理咨询有限公司 1/1
东莞市馨杰物业管理有限公司 5/5
上海力舟科技有限公司 1/1
深圳市汇生活实业有限责任公司 1/3
青岛日禾化工有限公司 2/2
东风汽车有限公司东风日产发动机分公司 1/2
南京三胞品牌管理有限公司 1/1
广州市东山百货大楼股份有限公司 1/1
科蒂商贸（上海）有限公司 4/4
深圳名匠优品时尚信息有限公司 4/4
大连恩埃斯楷轴承有限公司 2/2
成都针烽顺建筑材料有限公司 4/4
山东亿讯联信息技术有限公司 1/1
浙江天猫技术有限公司 0/85
广州美亚电子商务国际旅行社有限公司 15/18
深圳价值在线信息科技股份有限公司 1/3
石家庄诺艾尔馨科技有限公司 9/9
重庆圣投行企业管理有限公司 2/2
杭州圣使信息科技有限公司 2/2
深圳市凌雄科技有限公司广州分公司 1/2
博天环境集团股份有限公司湖北分公司 2/2
博天环境规划设计研究院（北京）有限公司 2/2
博天工业技术（北京）有限公司宁波分公司 2/2
龙湖物业服务集团有限公司青岛分公司 3/3
天弘创新资产管理有限公司 1/1
必然云（沈阳）科技有限公司 1/1
华际信息系统有限公司 1/1
海虹老人涂料（烟台）有限公司 1/1
上海找钢网信息科技股份有限公司 2/68
杭州三体科技股份有限公司 14/20
北京泽西未来网络科技有限公司 20/20
深圳世联行集团股份有限公司 1/11
广州文悦信息科技有限公司 1/1
深圳天安智慧园区运营有限公司广州分公司 1/1
广州湛平信息技术服务有限公司 1/1
山东德顺通建材有限公司 2/2
江苏昌达石油化工有限公司 1/1
国机财务有限责任公司 1/1
武汉匠人网络科技有限公司 11/12
无锡尚德太阳能电力有限公司 3/3
吴江梅塞尔工业气体有限公司 0/1
昆山立邦润滑油有限公司 0/1
河南楷林置业有限公司 0/1
上海金科机械制造有限公司 0/1
深圳香格里健康产业科技有限公司 0/1
芯河半导体科技(无锡)有限公司 0/1
宁波乐全房地产信息咨询有限公司 0/1
上海捷隆贸易有限公司 0/1
武汉盛泰百年招标有限公司 0/1
浙江邮通文博服务有限公司 71/72
北京东方童文化艺术股份有限公司 1/2
赣州合建建筑工程有限公司 15/15
娄底市三网汇通电子商务有限公司 3/3
海宁市融程酒店管理有限公司 0/1
北京恩环泰科技发展有限公司 1/1
上海金标文化创意股份有限公司 1/2
招商银行股份有限公司长春分行 1/1
深圳市腾英荟商贸有限公司 2/2
武汉冠信房地产开发有限公司 5/6
内蒙古丰晖信息技术有限公司 7/7
上海携程宏睿国际旅行社有限公司 2/58
武汉苏宁易购销售有限公司 7/11
南京钉鸿昊天网络科技有限公司 7/7
上海游昆信息技术有限公司 1/6
上海永达汽车租赁有限公司 7/9
深圳市汉明达网络有限责任公司 0/2
深圳市泛亚人力资源股份有限公司 18/18
大连凯飞化学股份有限公司 1/4
优诺（天津）服装有限公司 2/6
北京京东世纪贸易有限公司 0/93
上海佳豪船海工程研究设计有限公司 1/2
重庆新兰达建筑装饰工程有限公司 5/5
陕西蓝盾云信息安全技术有限公司 5/5
上海玛拉蒂家具有限公司 4/6
成都金良健身服务有限公司 1/1
中国平安人寿保险股份有限公司 0/46
郑州沃德设计制作有限公司 7/7
江苏开源钢管有限公司 0/2
南京益谷信息技术有限公司 14/16
泓德基金管理有限公司 25/56
北京嘉信浩远信息技术有限公司 5/102
河南博信智诚企业管理咨询有限公司 1/3
北京双高志信人力资源有限公司 1/9
上海竞道广告传媒有限公司 1/4
上海上嘉物流有限公司 0/7
广东今日头条科技有限公司 0/21
深圳先锋居善科技有限公司 1/8
中国人寿财产保险股份有限公司 1/441
北京智齿众服技术咨询有限公司 1/5
重庆金牛衣防水工程有限责任公司 4/5
酒圣科技股份有限公司重庆分公司 1/1
南京江宁君轩堂中医医院有限公司 4/4
上海众引文化传媒有限公司 1/3
安徽勤通医疗科技有限公司 0/1
江苏苏豪经济贸易有限公司 0/1
润塑（福建）科技有限公司 1/1
国金证券股份有限公司上海证券承销保荐分公司 1/1
青岛凯鑫诺国际贸易有限公司 1/1
湖北兴发国际贸易有限公司 1/1
沈阳圣城网络技术有限公司 10/10
湖南红太阳光电科技有限公司 2/2
西咸新区蓝盾信息安全技术有限公司广州分公司 4/4
武汉仁欣宁食品有限公司 0/1
富士施乐融资租赁（中国）有限公司 4/23
中庚基金管理有限公司 31/38
山东省海丰国际货运报关有限公司 0/4
中国广视索福瑞媒介研究有限责任公司 1/2
无锡衣锦繁华电子商务有限公司 2/2
广州市苗苗贸易有限公司 2/2
大连巨方机电科技开发有限公司 1/1
大连孚美化工科技有限公司 1/1
上海钜楹电气科技服务有限公司 1/1
大连钧安信贸易有限公司 1/1
深圳市康曼德资本管理有限公司 1/1
佛山市百鸿房地产开发有限公司 6/6
军通（成都）建设股份有限公司 4/7
深圳市迪比科电子科技有限公司 2/2
优家智能家居（深圳）有限公司 2/2
北京中洲光华物业管理有限公司 10/10
纳什空间信息技术（北京）有限公司 10/10
西安世联投资咨询有限公司 1/2
沈阳旭辉门窗有限公司 1/1
上海萌扬文化有限公司 1/1
上海萌扬文化艺术经纪有限公司 1/1
北京彩虹乐享信息技术有限公司上海分公司 1/1
北京禹腾科技有限公司 1/1
北京域盟信通科技有限公司 1/1
北京洞见市值管理咨询有限公司 1/1
北京天成山禾管理咨询有限公司 1/1
四川宣燃企业管理咨询有限公司 1/1
礼顿（山东）人力资源有限公司 1/1
北京东方高人管理顾问有限公司 1/1
济南爱新卓尔医药有限公司 1/8
郑州聚月科技有限公司 3/3
博华水务投资（北京）有限公司 1/1
青岛曜珈辉贸易有限公司 0/1
安徽锦诚信息咨询有限公司 7/7
四川乐彩科技有限公司 8/9
美埃（中国）环境科技股份有限公司 2/4
上海喵果信息技术有限公司 1/3
柏宜美涂（北京）商业有限公司西安太白路分公司 2/2
西安圣象家居有限公司 2/2
上海亚明照明有限公司 1/1
深圳市康铨机电有限公司 2/2
至高建设集团有限公司 0/1
深圳市怡明科技有限公司 0/3
深圳市蓝禾技术有限公司 1/12
中粮佳悦（天津）有限公司 0/1
河南世联精工房地产营销策划有限公司 1/1
昆明世联卓群房地产经纪有限公司 1/1
西安世纪金花赛高购物有限公司 1/5
腾讯云计算（北京）有限责任公司 1/85
北京自如生活企业管理有限公司 1/13
招商基金管理有限公司 19/74
南京君慈养老有限公司 3/4
广州欧华国际货运代理有限公司深圳分公司 1/4
上海永岳人力资源有限公司 3/3
武汉一品典藏文化传播有限公司 1/1
郑州和拓电子科技有限公司 1/1
东蒙集团有限公司 1/4
亚太建设科技信息研究院有限公司 1/3
联想（北京）有限公司 1/28
江苏锁安科技有限公司 3/3
北京禾胜技术服务有限公司 1/1
纳什空间创业科技（北京）有限公司 8/10
山东宏盛源建材有限公司 1/1
山东智通达商务咨询有限公司济南分公司 1/1
ＴＣＬ科技集团股份有限公司 0/1
德威国际货运代理（上海）有限公司深圳分公司 1/7
中国邮政集团有限公司海南省分公司 0/3
广州华茂机械模具有限公司 0/2
芯海科技（深圳）股份有限公司 1/3
广州市万科物业服务有限公司万科里享水韵物业服务中心 0/2
广州市万科物业服务有限公司万科府前花园物业服务中心 0/1
广州市万科物业服务有限公司万科里享花园物业服务中心 0/1
广州市万科物业服务有限公司万科云山花园物业服务中心 0/1
广州市万科物业服务有限公司万科红郡物业服务中心 0/1
广州市万科物业服务有限公司万科南方公元物业服务中心 0/1
广州市万科物业服务有限公司万科热橙花园物业服务中心 0/1
美设国际物流集团股份有限公司 0/2
西安碧盈置业有限公司 2/2
陕西卓越华悦置业有限公司 2/2
陕西延天品牌设计策划有限公司 2/2
东莞市增宇包装制品有限公司 0/1
襄阳市朗曼城市酒店管理有限责任公司 0/1
东莞市昕诚五金制品有限公司 0/1
武汉众智集成文化传媒有限公司 4/4
北京网聘咨询有限公司 4/59
北京三医特空气净化工程有限公司 5/5
北京阳光印易科技有限公司 3/31
深圳玛丝菲尔噢姆服饰有限公司 1/4
陕西瓦特环保科技有限公司 3/3
软通动力技术服务有限公司 2/8
武汉顺衡速运有限公司 1/31
福州顺丰速运有限公司 0/119
福建元信融资担保有限公司 1/6
天津西瓜旅游有限责任公司 0/37
深圳华润三九医药贸易有限公司 0/127
成都东祥物业服务有限公司 0/2
上海工享企业管理（集团）有限公司 35/36
国药控股武汉恒丰有限公司 1/2
合肥联东金冠实业有限公司 1/1
合肥亚晟幕墙材料有限公司 1/1
厦门海投建设咨询有限公司 1/1
六安利腾商贸有限公司 1/1
深圳市凌雄科技有限公司北京分公司 0/2
绿之道科技（深圳）有限公司 1/1
国药控股(威海)威高医药有限公司 1/1
广州瀚星网络科技有限公司 6/6
薪宝信息科技（广州）有限公司 6/6
甄之贸易（上海）有限公司 1/2
深圳邦宝时尚服饰有限公司 1/2
西安雍丽贸易有限公司 1/2
睿远基金管理有限公司 18/28
武汉福禄网络科技有限公司 5/23
上海格瑞宝电子有限公司 1/4
北京网聘咨询有限公司武汉分公司 2/8
和明国际货运有限公司 0/1
安上国际货运代理（上海）有限公司 0/1
上海瀚万国际货运代理有限公司 0/1
西安垚迈商贸有限公司 1/2
中国电信股份有限公司广东分公司 1/3
北京欣妍文化传媒有限公司 1/1
浙江丽晶物业管理有限责任公司 1/2
广州市捷镁贸易有限公司 1/2
南阳盛美卓越电器销售有限公司 0/5
上海昂盛智能工程股份有限公司 1/2
成都大成融创建筑材料有限公司 2/3
上海容正物流有限公司 3/5
滔搏企业发展（上海）有限公司 0/144
快云信息科技有限公司 2/2
北京商网信互联网服务有限公司 2/2
重庆百货大楼股份有限公司 0/9
东莞市荣森塑胶原料有限公司 1/1
北京德元通远人力资源管理有限公司广州分公司 1/1
深圳市西城微科电子有限公司 1/1
江苏泰昆信息服务有限公司 27/27
深圳市泰邦航空服务有限公司 5/5
山西羽信科技有限公司 2/2
青岛傲华网络信息技术有限公司 2/2
北京崔玉涛育学园诊所有限公司 0/6
深圳中天精装股份有限公司 1/1
青岛龙泰舜泽置业有限公司 1/1
青岛龙凯置业有限公司 1/1
龙湖物业服务集团有限公司黄岛分公司 1/1
青岛龙昊置业有限公司 1/1
青岛德邦门窗幕墙发展有限公司 1/1
广州博冠信息科技有限公司 5/17
深圳基本半导体有限公司 1/2
西安科湃电气有限公司 1/2
深圳市蓝德汽车电源技术有限公司 1/2
亚信科技（南京）有限公司 0/3
黑龙江一秒凤凰装饰工程设计有限公司哈尔滨分公司 3/3
苏州凯欧机械科技有限公司 1/2
深圳前海联捷商业保理有限公司 2/8
深圳集智数字科技有限公司 1/1
深圳市卓航咨询管理有限公司 1/1
大连祥龙世纪传媒工程有限公司 1/1
固安东涵房地产开发有限公司 1/1
北京爱普新媒体科技有限公司 1/1
禄丰科莱恩化工有限公司 0/1
河南德茗投资有限公司 3/3
上海协微环境科技有限公司 1/2
北京国际信托有限公司 2/5
上海德远劳务派遣有限公司 2/2
上海昊瑞劳务派遣有限公司 2/2
上海昊耀人力资源有限公司 2/2
上海涵巷餐饮管理有限公司 2/2
北京华品博睿网络技术有限公司 2/168
山东省建设监理咨询有限公司海南分公司 1/1
泰华智慧产业集团股份有限公司 1/1
江苏海隆软件技术有限公司 2/2
拉卡拉支付股份有限公司 0/81
中国移动通信集团广东有限公司广州分公司 2/7
靖江市城乡建设有限公司 2/4
上海瀚之友信息技术服务有限公司 5/7
太平养老保险股份有限公司 2/21
深圳市视美泰技术股份有限公司 0/4
武汉江南印象置业有限公司 2/2
上海芃杨农副产品有限公司 1/1
遵义市城投滨江房地产开发有限公司 2/2
广州市满泰信息科技有限公司 2/2
深圳微米动力科技有限公司 1/1
广州立早网络科技有限公司 1/1
杭州深睿博联科技有限公司 0/2
浙江文投航美传媒有限公司 0/2
北京文投航美传媒有限公司 0/2
深圳欧特海洋科技有限公司 0/2
重庆易才人力资源顾问有限公司 0/2
上海远周人力资源有限公司 0/2
单仕竞（上海）体育用品有限公司 0/2
大成基金管理有限公司 13/37
阳光人寿保险股份有限公司东莞中心支公司 0/2
宁波九飏信息科技有限公司 5/5
北京嘀嘀无限科技发展有限公司 0/156
南通和信金属材料有限公司 3/3
大连昊鑫金属材料科技有限公司 3/3
武汉通力互联技术服务有限公司 1/1
武汉浩天卓越人力资源服务有限公司 1/2
深圳市捷洋服饰有限公司 1/1
陕西富吉商贸有限公司 1/1
深圳市美迪服装有限公司 1/1
西安达鑫塬商贸有限公司 1/1
北京道晟和美发制品有限公司 1/1
陕西沉檀妙香文化传播有限公司 1/1
深圳皆一堂文化有限公司 1/1
陕西唐远电器有限公司 1/1
陕西和丰电子有限公司 1/1
陕西盛世梧桐商贸有限公司 1/1
济南晨诺照明工程有限公司 0/1
东营广玖商贸有限公司 0/1
东营林瑞商贸有限公司 0/1
广州市恩腾国际贸易有限公司 1/1
福建大白牛进出口贸易有限公司 1/1
广州卓岳电子商务有限公司 1/1
泉州槿铄商贸有限公司 1/1
上海景秀瑞旅行用品有限公司 1/1
杭州年顺服饰有限公司 1/1
杭州荣港船舶技术咨询服务有限公司 0/1
上海鹰瞳医疗科技有限公司 1/5
重庆天骄爱生活服务股份有限公司 1/45
西安德高印染自动化工程有限公司 0/3
中州期货有限公司 4/4
四川高灯企服科技有限公司 0/7
兵工财务有限责任公司 2/65
合肥市红日建筑材料有限公司 3/3
江苏卓川服务外包有限公司 0/2
杭州车尊客汽车服务有限公司 4/5
中建八局第二建设有限公司 0/128
中泰证券（上海）资产管理有限公司 5/12
北京梦见星科技有限公司 1/1
四川景泰吉投资有限公司 1/1
四川滨江润达地产有限公司 1/1
深圳市和讯华谷信息技术有限公司 0/5
广州慧聪网络科技有限公司顺德分公司 0/3
诺笛（上海）企业管理咨询有限公司 1/1
华创优芯互联科技（北京）有限公司 1/1
日电贸（苏州）贸易有限公司 1/1
苏州聚沙电子科技有限公司 1/1
西安中车永电电气有限公司 1/1
天津赛驰威科技有限公司 1/1
青岛琉辉精密电子配件有限公司 1/1
苏州睿沙科技有限公司 1/1
招商银行股份有限公司郑州分行 2/5
北京未来贝星文化发展有限公司 0/1
武汉爱瑞迪科技有限公司 1/1
长春奥泽电工机械设备有限公司 1/1
陕西轩铭实业有限责任公司 2/2
陕西意特友服饰有限公司 2/2
陕西垒金建筑工程有限公司 2/2
西安伟鹏智能科技有限公司 2/2
天津珺晟科技有限公司 0/2
招商银行股份有限公司 0/480
江门市浩通人力资源有限公司江苏分公司 4/5
深圳市赢时通汽车服务有限公司广州分公司 4/4
赢时通科技（深圳）有限公司 4/4
华泰期货有限公司 0/3
永诚财产保险股份有限公司 0/70
重庆融创物业管理有限公司 0/14
紫金财产保险股份有限公司 1/65
西安翼展装饰工程有限公司 1/1
西安洪大洲贸易有限公司 1/1
西安美邦建材有限公司 1/1
深圳市敦实电子有限公司 1/1
东莞市潼行文化发展有限公司 1/1
深圳市宝捷尔实业有限公司 1/1
深圳市华珑科技有限公司 1/1
西安酷派软件科技有限公司 1/1
中远海运集团财务有限责任公司 0/511
大连锦程物流供应链有限公司 0/2
长沙达内软件有限公司第一分公司 0/1
深圳铨星工程设备有限公司 0/1
天津鑫宏远创建筑装饰工程有限公司武汉分公司 2/5
湖北华中天地国际工程咨询有限公司 1/2
湖北省建筑科学研究设计院股份有限公司 1/2
上海智服人力资源有限公司 19/39
江苏京东信息技术有限公司 0/36
鹰潭华瑞物流有限公司 0/3
深圳市大族元亨光电股份有限公司 0/1
孝感璟悦房地产开发有限公司 1/2
江西百瑞慧外包服务有限公司 2/3
北京宝宝爱吃餐饮管理有限公司 0/14
四川霖安人力资源服务有限公司 0/1
宁夏铁发人力资源服务有限公司 0/1
北京磁云智链科技有限公司 0/1
北京中融信融资担保有限公司 0/2
深圳市华天利达物流有限公司 0/2
广州洋腾国际货运代理有限公司 0/1
广州九望洋国际货运代理有限公司 0/1
上海瑞司倍海洋工程技术有限公司 0/1
上海华测品标检测技术有限公司 1/17
上海卓明新材料有限公司 2/3
深圳市尚美基建管理有限公司 3/6
共鸣众泰（天津）国际融资租赁有限公司 3/4
中菲行国际货运代理（上海）有限公司 1/5
江苏迪普实业股份有限公司 0/1
第一太平戴维斯物业顾问（北京）有限公司成都分公司 2/7
深圳市长亮数据技术有限公司 0/9
正天技术有限公司 0/5
杭州优行科技有限公司 1/18
苏州市民卡有限公司 1/21
广州九尾信息科技有限公司 19/22
杭州易充宝电子商务有限公司 0/2
开能康德威健康科技（北京）有限责任公司 0/1
东莞市耀兴达自动化设备有限公司 0/1
中集德立物流系统（苏州）有限公司 0/1
上海煜璞贸易有限公司 1/5
哈尔滨冰城地铁保安服务有限公司 2/2
哈尔滨中庆清洁能源有限公司 2/2
武汉通用人力资源服务有限公司 1/2
湖北恒厚新能源有限公司 1/2
四川娱尚互娱科技有限公司 3/6
河北云之海人力资源服务有限公司 1/1
浙江微能科技有限公司 4/10
中通服咨询设计研究院有限公司 1/17
北京洁源新能投资有限公司 1/1
北京城建道桥建设集团有限公司 1/1
西安华铭业基础工程有限公司 1/1
陕西开城实业有限公司 1/1
兰州华建混凝土有限公司 1/1
郑州瑞茂通供应链有限公司 3/3
无锡市联云经贸有限公司 1/2
宁波优肯供应链管理有限公司 6/6
河南省蓝薪卡互联网科技有限公司 8/11
乌鲁木齐电之助工贸有限公司 0/25
武汉仙莉邦商贸有限公司 2/2
茂名国通塑料建材有限公司 0/1
广州探途网络技术有限公司 1/2
浙江薪福云信息科技有限公司 8/12
深圳市游有国际旅行社有限公司 3/3
高德软件有限公司 3/4
上海市对外服务浙江有限公司 9/12
南昌海跃科技有限公司 1/1
武汉地球空间信息产业投资有限公司 1/1
武汉市隆懿安科技有限公司 1/1
武汉万美柯机电阀门有限公司 1/1
湖北连邦创新软件有限公司 1/1
北京维众人力资源管理有限公司 0/10
中国电信股份有限公司四川分公司 1/3
大连奥北科技发展有限公司 2/2
卡松科技股份有限公司 2/2
亿祺创新（北京）科技有限公司 1/2
健合（中国）有限公司 9/9
蜂助手股份有限公司 3/7
网迅通科技发展南京有限公司 4/5
上海效易网络科技有限公司 0/1
上海新旦营销管理股份有限公司 0/1
深圳市盟天科技有限公司 0/1
临颍捷通物流运输有限公司 0/1
上海骥祥物流有限公司 0/1
北京九州天际国际旅行社有限公司 2/8
海南腾讯互联网医院有限公司 0/21
泰康资产管理有限责任公司 8/50
河南广安养猪服务有限公司 2/4
广州爱机汽车配件有限公司 1/2
成都知藏云柚供应链管理有限公司 0/4
上海和丰永讯金融信息服务有限公司 0/93
张家港新力金属有限公司 2/2
佛山市华儒铜业有限公司 2/2
西安建设工程交易中心有限公司 1/6
江苏文博人力资源服务有限公司 15/15
深圳汇安消防设施工程有限公司 1/4
海南天明物联科技有限公司 1/2
万物云空间科技服务股份有限公司 0/169
深圳市天隆广播电视网络有限公司 2/3
吉林省堃喆塑业有限公司 2/2
天津市利顺盛鑫商贸有限公司 2/2
合肥市轨道交通集团有限公司 2/2
合肥联东金鸿投资有限公司 2/2
河北润谱科技有限公司 0/1
上海银联电子支付服务有限公司 0/20
深圳市宏旭达通讯技术有限公司 1/2
北京京穗蓝盾信息安全技术有限公司 1/2
海南启悦生活网络科技有限公司 3/3
北京麻袋氪网络科技有限公司 3/3
斯林姆（北京）国际教育咨询有限公司 1/1
御兆龙晟电子商务（武汉）有限公司 1/1
河南华诺人力资源服务有限公司 1/1
中远海运集团财务有限责任公司北京分公司 1/126
中国证券登记结算有限责任公司北京分公司 1/2
苏州城慧通商务咨询服务有限公司 1/13
深圳市长亮核心科技有限公司 0/7
汇才时代人力资源管理（武汉）有限公司 1/1
湖北天禄旅游酒店有限责任公司 1/1
武汉华金制元自控技术有限公司 1/1
武汉市鑫明华商贸有限公司 1/1
武汉众星冲压有限责任公司 1/1
武汉中铁伊通物流有限公司 1/1
武汉志恒智能装备有限公司 1/1
中智薪税技术服务有限公司 0/25
安徽安粮控股股份有限公司 3/3
江苏苏豪资产运营集团有限公司 1/1
中国广视索福瑞媒介研究有限责任公司广州分公司 0/1
沃通电子认证服务有限公司 1/1
广州杰茜卡信息科技有限公司 1/1
杭州锐达数字技术有限公司 1/1
北京希格玛仿真技术有限公司 1/1
深圳市赛尔乐电子商务有限公司 1/1
郑州奔图办公设备有限公司 1/1
国药控股湖北有限公司 0/25
拉扎斯网络科技（上海）有限公司 1/30
日照市岚山区创秋木业有限公司 2/2
广东国弘建设工程有限公司 2/2
常州合全药业有限公司 2/2
江苏恒瑞医药股份有限公司 0/2
友成融资租赁有限公司 6/6
大华建设项目管理有限公司甘肃分公司 1/2
普康（杭州）健康科技有限公司 0/165
上海致趣文化传媒有限公司 0/4
